Permit Number,Permittee Name,Project Name,Mechanical or Non-Mechanical,County,City,Lat.,Long.,HUC 8 ID#,Watershed Name,Discharge Stream,Class,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020656,City of Clarksville,Clarksville STP and Combined Sewer System,Mechanical - Suspended Growth,Montgomery,Clarksville,36.546708,-87.355514,05130206,Red River,"Barkley Reservoir (Cumberland River) at miles 125.0, 125.4, and 126.2",M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024121,Cleveland Utilities,Cleveland Utilities STP,Mechanical - Suspended Growth,Bradley,Cleveland,35.311168,-84.799734,06020002,Hiwassee River,Hiwassee River at mile 15.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0061387,City of Clifton,Clifton STP,Non-Mechanical Lagoon,Wayne,Clifton,35.390152,-87.979316,06040001,Beech River,Tennessee River at mile 157.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0067423,City of Clifton,Clifton STP #2,Non-Mechanical Lagoon,Wayne,Clifton,35.376784,-87.99661,06040001,Beech River,Tennessee River at mile 157.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0026506,Clinton Utilities Board,Clinton WWTP #1,Mechanical - Suspended/Attached,Anderson,Clinton,36.08611,-84.15527,06010207,Lower Clinch River,Clinch River Mile 56.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0057461,Town of Collierville,Shelton Rd. STP,Mechanical - Suspended Growth,Shelby,Collierville,35.084166,-89.661666,08010210,Wolf River,Wolf River at mile 30.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0078841,Town of Collierville,Collierville Northwest STP,Mechanical - Suspended Growth,Shelby,Collierville,35.096454,-89.7119,08010210,Wolf River,Wolf River at mile 25.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0056103,City of Columbia,Columbia STP,Mechanical - Suspended Growth,Maury,Columbia,35.639167,-87.085556,06040003,Lower Duck River,Duck River at mile 127.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024198,City of Cookeville,Cookeville Municipal POTW,Mechanical - Suspended Growth,Putnam,Cookeville,36.107984,-85.503375,05130108,Caney,Pigeon Roost Creek at mile 2.3,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024449,City of Copperhill,Copperhill STP,Mechanical - Suspended Growth,Polk,Copperhill,34.991525,-84.381386,06020003,Ocoee River,Ocoee River at mile 37.0,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0061841,Lewisburg Water and Sewer Department,Cornersville STP,Mechanical - Suspended Growth,Marshall,Cornersville,35.332472,-86.843491,06030004,Lower Elk River,Town Creek mile 0.9,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0020982,City of Covington,Covington STP,Mechanical - Suspended Growth,Tipton,Covington,35.620472,-89.611912,08010208,Lower Hatchie River,unnamed tributary at mile 0.02 to Hatchie River at mile 35.2,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0021644,City of Cowan,Cowan STP,Mechanical - Suspended Growth,Franklin,Cowan,35.157347,-86.020862,06030003,Upper Elk River,Boiling Fork Creek at mile 13.4,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0068594,Cumberland Point Condominium Property Owners Association,,Mechanical - Suspended Growth,Cumberland,Crab Orchard,35.888367,-84.858662,06010201,Watts Bar Lake,Headwaters of Berks Creek to Fall Creek at mile 3.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024988,Town of Alamo,Alamo STP,Mechanical - Suspended Growth,Crockett,Crockett,35.797665,-89.117787,08010204,North Fork Forked Deer River,Unnamed tributary to Buck Creek at mile 4.5 then to the Forked Deer at mile 118,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0024996,City of Crossville,Crossville STP,Mechanical - Suspended Growth,Cumberland,Crossville,35.961651,-85.049368,06010208,Emory River,Obed River at mile 38.6,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN0025119,Town of Cumberland City,Cumberland City Wastewater Lagoon,Non-Mechanical Lagoon,Stewart,Cumberland City,36.3947,-87.6322,05130205,Lake Barkley,Cumberland River at mile 104.5,M,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
